ID,DOI,Source,Year,镉,铅,砷,铜,锌,镍,铬,汞,超标因子数,标签,id_DOI,id_Source,split_source,is_synthetic
2552,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.212,41.87,15.25,,,,69.69,0.09,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2553,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.17,42.8,9.5,,,,77.7,0.075,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2554,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,66.75,90.5,82.21,,,,67.79,66.95,4,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2555,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,3.26,32.02,,,,,66.8,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2556,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.101,10.6,,,,,108.0,,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2557,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,,1072.248,70.5432,,,,664.595,,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2558,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.52,17.96,9.63,,,,53.04,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2559,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,2.42,32.2,3.02,,,,,0.076,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2560,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,121.424,163.47,887.32,,,,322.28,,4,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2561,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,3.863,37.138,791.098,,,,70.62,1.199,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2562,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.56,118.5,,,,,127.6,,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2563,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.13,25.87,7.99,,,,63.29,0.042,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2564,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,7.15,81.36,,,,,171.94,,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2565,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,1.3,193.0,24.1,,,,48.5,0.1,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2566,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,4.13,72.54,,,,,33.87,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2567,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,87.0,4382.0,980.0,,,,51.0,,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2568,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,5.81,178.9,,,,,229.03,,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2569,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,11.18,202.2,,,,,366.63,,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2570,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,34.65,239.6,,,,,151.3,,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2571,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,7.15,81.36,,,,,171.94,,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2572,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,7.41,89.47,,,,,69.11,,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2573,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,2.38,48.45,,,,,133.81,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2574,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.3,14.53,11.08,,,,51.06,,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2575,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.119,835.6,75.5,,,,,1.17,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2576,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,4.21,26.01,66.78,,,,100.01,0.84,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2577,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.3,48.91,14.09,,,,76.54,0.23,0,0,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2578,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,19.45,34.55,,,,,34.91,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2579,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,2.87,466.74,,,,,990.43,,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2580,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,7.314,990.012,96.85,,,,,,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2581,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,24.4,1928.0,1293.0,,,,,,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2582,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,37.1,1186.0,40.0,,,,,,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2583,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,4.18,164.0,56.6,,,,,,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2584,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,6.6,350.0,133.0,,,,,,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2585,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,1.584,61.66,35.09,,,,63.88,14.94,3,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2586,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.625,33.089,32.444,,,,0.133,,2,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2587,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,0.293,21.217,40.178,,,,0.13,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
2588,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,,1.468,27.367,29.267,,,,0.251,,1,1,10.1016/j.envpol.2018.03.088,Yang2018_industrial_S3,real_model_ready,False
