source_id,paper_id,title,sample_id,province,city_or_region,latitude,longitude,matrix,pollution_type,pollutant_family,pollutant_name_original,pollutant_name_std,value_original,unit_original,value_std,unit_std,censoring_flag,evidence_level,evidence_location,source_file,qa_flag
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,8:2 Cl-PFESA,8:2 Cl-PFESA,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BH34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,PFESSA,PFESSA,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BI34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,5:1:2 FTB,5:1:2 FTB,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BJ34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,5:3 FTB,5:3 FTB,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BK34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,6:2 FTAB,6:2 FTAB,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BL34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,PFHxSAm,PFHxSAm,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BM34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,PFHxSAmS,PFHxSAmS,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BN34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,PFOAB,PFOAB,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BO34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,PFOSB,PFOSB,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BP34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,PFOSAm,PFOSAm,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BQ34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,PFOSAmS,PFOSAmS,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BR34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,Cl-PFHpA,Cl-PFHpA,0.01882836014252675,ng/g,0.01882836014252675,ng/g,measured,A_sample_table,Table 2!BS34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,Cl-PFNA,Cl-PFNA,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BT34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,8Cl-PFOS,8Cl-PFOS,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BU34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,H-PFBA,H-PFBA,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BV34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,H-PFHpA,H-PFHpA,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BW34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,H-PFOA,H-PFOA,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BX34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,H-PFNA,H-PFNA,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BY34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,H-PFU0A,H-PFU0A,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!BZ34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,C7-PFdiCA,C7-PFdiCA,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!CA34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_30,Jilin,Jilin,43.61722222,127.7438889,soil,OP,PFAS,C8-PFdiCA,C8-PFdiCA,0.0,ng/g,0.0,ng/g,below_detection,A_sample_table,Table 2!CB34,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2,Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China: Source Tracking and Main Drivers for the Spatial Variation,PFAS_SURFACE_SOILS_CHINA_SI_TABLE2_31,Jilin,Baishan,42.27,126.9197222,soil,OP,PFAS,PFPrA,PFPrA,0.19581995821561202,ng/g,0.19581995821561202,ng/g,measured,A_sample_table,Table 2!G35,G:\所有文献\14.第十阶段小补充 4\Legacy and Novel Per- and Polyfluoroalkyl Substances in Surface Soils across China Source Tracking and Main Drivers for the Spatial Variation_si_002.xlsx,verified_native_si
