site_id,Latitude,Longitude
13,34.2208333333,92.4436111111
16,34.1286111111,93.0163888889
24,34.0236111111,95.8216666667
25,34.0236111111,95.8222222222
27,27.8357601253,99.7074445739
28,27.8294729987,99.7123210254
33,26.883161684,100.232480339
34,26.8273918036,100.243527341
38,25.1985870712,101.28042055
42,27.4260770829,101.513276699
47,26.5887669572,101.609356335
49,26.576305,101.701205
51,26.5880331733,101.725541171
52,26.5880331733,101.7255412
54,26.623695,101.73253
55,26.4975266073,101.740992116
56,26.583735,101.750803
58,26.549398,101.762249
64,26.6611997784,102.251436345
66,25.5360895878,102.41053182
68,24.76657,102.645509
69,24.988169,102.648096
70,29.3666666667,102.65
71,25.012009,102.65672
72,24.704083,102.657583
73,29.350217386,102.65857589
74,25.0431987609,102.671557124
75,24.95253,102.678567
76,24.8647,102.692652
77,24.913998,102.699264
78,25.049834962,102.713423281
79,24.821369,102.715458
80,25.0515622673,102.716416075
81,24.815907,102.728297
82,24.872044,102.728297
83,25.0211964239,102.750481707
84,25.0438700167,102.754174102
86,24.878862,102.767391
87,24.9030239848,102.784586953
92,24.92437,103.012546
93,30.0167925457,103.049542624
94,26.4242150456,103.303487292
97,30.42,103.47
98,29.6069755275,103.491545574
99,30.2025004281,103.512571324
103,29.743846303,103.5784101
110,30.6365958914,103.679433369
111,30.6365958914,103.679433369
113,27.3261442061,103.713470423
119,25.4964069315,103.802434828
120,30.0482721344,103.838524802
121,29.8370547437,103.853558832
122,30.0825261194,103.8565633
123,30.1988544169,103.87955823
125,30.5803993528,103.930391542
126,30.7153286424,103.943323908
128,30.8054851023,104.041456419
129,30.8054851023,104.041456419
130,30.7551110739,104.052871097
131,30.6636068845,104.063684
132,30.6780866109,104.067309921
134,30.577543147,104.0734665
135,30.577543147,104.073466547
136,30.6301420379,104.083991903
137,30.6632626183,104.084776932
138,30.6418046947,104.087619563
139,30.5929208526,104.091336988
140,30.665589284,104.10859155
142,30.6932901185,104.171479584
144,26.8492261429,104.235119
146,26.8333333333,104.25
147,30.8844213727,104.257512458
150,31.2485557647,104.288372307
154,31.1727550384,104.38972129
155,31.1331150037,104.404419365
156,31.1426112081,104.41689593
165,28.772051773,104.626437986
166,27.1290516751,104.733515823
167,27.1290516751,104.733515823
169,31.7841281934,104.752411601
172,26.5807040796,104.850529817
176,29.5858865383,105.064588
177,28.7296097219,105.073594885
179,29.5436947311,105.095451377
182,27.2902150834,105.298588795
184,29.4113073967,105.601419799
188,26.3082334513,105.748485706
189,26.376549,105.774537
190,26.6692218857,105.777589547
192,30.1973142397,105.847399036
193,29.3620463359,105.933499361
194,26.2592523787,105.954417124
196,29.8505087787,106.063449494
197,29.8505087787,106.063449494
201,29.210187244,106.153695691
203,30.1333333333,106.216667
204,29.5950298581,106.217716398
206,27.4747222222,106.259444444
208,29.2958843745,106.265597608
209,29.2958843745,106.265597608
211,29.9781812395,106.282541088
219,26.6098815398,106.36544732
221,26.4954999445,106.388040961
222,29.8111565129,106.40228117
223,27.7977521585,106.407526555
224,27.7977521585,106.407526555
225,31.0346307783,106.418481942
226,31.0318051184,106.422395141
227,26.4417292757,106.438735665
228,29.5327181114,106.443698084
229,29.5199070979,106.445364942
230,29.5067381157,106.450186664
231,29.5585932479,106.451841224
232,29.5690326285,106.459376287
233,29.4829645878,106.46110202
234,29.5471925165,106.464465111
235,29.5242400749,106.468635943
237,29.5656111533,106.47674785
238,26.5619878985,106.47752261
239,29.4766368233,106.479533633
240,29.4830134139,106.479649495
241,29.468551406,106.480606148
242,29.4909435575,106.483322143
244,29.5340387381,106.486122538
245,29.5290923964,106.494585045
246,29.5742043246,106.49469261
247,29.5221739633,106.499158608
249,29.5793263091,106.504710186
251,29.522302388,106.509124374
252,29.5259050982,106.515004318
253,33.9165830163,106.522557822
254,33.9165830163,106.522557822
255,29.5264214955,106.52526036
256,29.5705221116,106.527105977
257,29.5814186725,106.528371258
258,29.5253592572,106.531034553
259,29.5547775966,106.531646595
260,29.5758523375,106.532289239
261,29.5893682012,106.533470635
262,29.574975645,106.538202429
263,26.671595,106.539057
264,29.5927315834,106.539228114
266,29.5733197434,106.543599663
268,29.5641651448,106.550169299
269,29.5689962453,106.558434155
270,29.5689962453,106.558434155
271,29.5689962453,106.558434155
272,29.5291439977,106.56256607
273,29.5200030993,106.563006205
274,29.5905950541,106.569217923
275,29.5845316313,106.572888493
276,29.559090183,106.575440067
277,29.5908759213,106.576308788
278,29.6149263915,106.577998111
279,29.5748839104,106.578208428
280,29.5852783149,106.578389114
283,29.5469573342,106.592669477
284,29.534310382,106.597221426
286,26.8448624476,106.598492203
290,26.6835884991,106.62959684
291,29.4992115156,106.630457703
295,29.723927343,106.637559061
296,30.4617461107,106.639552682
298,26.622,106.642
299,26.676,106.645
301,29.0341137483,106.657484195
304,26.4563413741,106.669280204
310,33.159804747,106.679425949
311,26.5420429587,106.693353984
312,26.5103598172,106.693914796
313,26.599,106.699
314,26.5769334167,106.70454157
315,26.574,106.711
316,26.5843392447,106.712179054
317,26.5669263068,106.712299876
318,26.5882505213,106.714463534
319,26.604029545,106.714475931
320,26.5795734028,106.716294011
323,26.5914657843,106.718897211
324,26.5743361815,106.720527635
326,26.5923255361,106.726650755
330,26.6365291356,106.757558034
331,31.8576856026,106.775513108
333,27.542500878,106.836503548
336,28.9681106642,106.93013438
338,33.0056145997,106.942433183
339,27.063673574,106.971559559
342,26.4590806306,106.986585965
343,33.0737999078,107.0294302
344,33.0737999078,107.029430209
354,26.590659655,107.240554359
355,30.3332939685,107.339565875
356,30.3332939685,107.339565875
357,33.1623993852,107.34061258
359,29.709278198,107.396419798
362,27.7727848045,107.483146164
366,27.8752596107,107.59069112
369,29.8694127892,107.737480618
370,29.8694127892,107.737480618
371,32.9893974419,107.773392819
372,30.660553255,107.776097258
381,26.583442,107.982859
382,26.5730794257,107.987468891
383,32.0874208478,108.041540697
384,30.3052683894,108.044537534
385,30.321705,108.050388
389,30.383717,108.131833
397,31.1666441132,108.399497656
407,29.5388125677,108.777591198
414,28.4534478643,109.0135739
415,26.2368740502,109.143566971
418,27.7377864564,109.196438898
433,31.0246017665,109.470472756
435,30.3010371437,109.486550269
436,30.3010371437,109.486550269
444,28.7038888889,109.646388889
446,30.6079070263,109.728556109
452,33.8786338522,109.924417881
453,33.8786338522,109.9244179
456,27.575160903,110.0085143
462,33.698106,110.329212
466,29.1228155626,110.485532547
467,29.1261905584,110.544431924
469,32.0466655453,110.733591363
470,31.3544635177,110.75344607
471,32.6350618584,110.804529561
476,27.11994644,111.039506685
481,26.9965283322,111.280507681
482,30.6974464845,111.2925492
483,27.692058849,111.441539723
484,27.7489027778,111.474283333
486,27.2452702728,111.474432886
493,26.4258641179,111.619455058
494,32.2689830689,111.659575642
496,27.6981675323,111.670561994
498,29.0607834766,111.689544896
499,29.0377499994,111.70545218
500,33.0380555556,111.939444444
501,27.703208597,112.001503493
502,32.0147968047,112.1285372
503,32.0147968047,112.128537201
504,29.4173204322,112.177506156
505,31.0417325756,112.20639298
511,26.9752949509,112.377552684
518,32.9965622047,112.5345013
519,32.9924837975,112.541461834
