factor,track,category,threshold_value,unit,ph_segment,land_class,source,confidence,note
镉,生产,HM,0.3,mg/kg,pH≤5.5,水田,GB15618-2018,high,GB15618表1水田段(知识库V1.0=官方表1三源一致核对,2026-06-24方案A四段全值)
镉,生产,HM,0.4,mg/kg,5.5<pH≤6.5,水田,GB15618-2018,high,GB15618表1水田段
镉,生产,HM,0.6,mg/kg,6.5<pH≤7.5,水田,GB15618-2018,high,GB15618表1水田段
镉,生产,HM,0.8,mg/kg,pH>7.5,水田,GB15618-2018,high,GB15618表1水田段
镉,生产,HM,0.3,mg/kg,pH≤5.5,其他,GB15618-2018,high,GB15618表1其他用地段
镉,生产,HM,0.3,mg/kg,5.5<pH≤6.5,其他,GB15618-2018,high,GB15618表1其他用地段
镉,生产,HM,0.3,mg/kg,6.5<pH≤7.5,其他,GB15618-2018,high,GB15618表1其他用地段
镉,生产,HM,0.6,mg/kg,pH>7.5,其他,GB15618-2018,high,GB15618表1其他用地段
汞,生产,HM,0.5,mg/kg,pH≤5.5,水田,GB15618-2018,high,GB15618表1水田段(修正旧note错误值1.7/2.0,官方表1水田6.5-7.5段实为0.6)
汞,生产,HM,0.5,mg/kg,5.5<pH≤6.5,水田,GB15618-2018,high,GB15618表1水田段
汞,生产,HM,0.6,mg/kg,6.5<pH≤7.5,水田,GB15618-2018,high,GB15618表1水田段
汞,生产,HM,1.0,mg/kg,pH>7.5,水田,GB15618-2018,high,GB15618表1水田段
汞,生产,HM,1.3,mg/kg,pH≤5.5,其他,GB15618-2018,high,GB15618表1其他用地段
汞,生产,HM,1.8,mg/kg,5.5<pH≤6.5,其他,GB15618-2018,high,GB15618表1其他用地段
汞,生产,HM,2.4,mg/kg,6.5<pH≤7.5,其他,GB15618-2018,high,GB15618表1其他用地段
汞,生产,HM,3.4,mg/kg,pH>7.5,其他,GB15618-2018,high,GB15618表1其他用地段
砷,生产,HM,30,mg/kg,pH≤5.5,水田,GB15618-2018,high,GB15618表1水田段
砷,生产,HM,30,mg/kg,5.5<pH≤6.5,水田,GB15618-2018,high,GB15618表1水田段
砷,生产,HM,25,mg/kg,6.5<pH≤7.5,水田,GB15618-2018,high,GB15618表1水田段
砷,生产,HM,20,mg/kg,pH>7.5,水田,GB15618-2018,high,GB15618表1水田段
砷,生产,HM,40,mg/kg,pH≤5.5,其他,GB15618-2018,high,GB15618表1其他用地段
砷,生产,HM,40,mg/kg,5.5<pH≤6.5,其他,GB15618-2018,high,GB15618表1其他用地段
砷,生产,HM,30,mg/kg,6.5<pH≤7.5,其他,GB15618-2018,high,GB15618表1其他用地段
砷,生产,HM,25,mg/kg,pH>7.5,其他,GB15618-2018,high,GB15618表1其他用地段
铅,生产,HM,80,mg/kg,pH≤5.5,水田,GB15618-2018,high,GB15618表1水田段
铅,生产,HM,100,mg/kg,5.5<pH≤6.5,水田,GB15618-2018,high,GB15618表1水田段
铅,生产,HM,140,mg/kg,6.5<pH≤7.5,水田,GB15618-2018,high,GB15618表1水田段
铅,生产,HM,240,mg/kg,pH>7.5,水田,GB15618-2018,high,GB15618表1水田段
铅,生产,HM,70,mg/kg,pH≤5.5,其他,GB15618-2018,high,GB15618表1其他用地段
铅,生产,HM,90,mg/kg,5.5<pH≤6.5,其他,GB15618-2018,high,GB15618表1其他用地段
铅,生产,HM,120,mg/kg,6.5<pH≤7.5,其他,GB15618-2018,high,GB15618表1其他用地段
铅,生产,HM,170,mg/kg,pH>7.5,其他,GB15618-2018,high,GB15618表1其他用地段
铬,生产,HM,250,mg/kg,pH≤5.5,水田,GB15618-2018,high,GB15618表1水田段
铬,生产,HM,250,mg/kg,5.5<pH≤6.5,水田,GB15618-2018,high,GB15618表1水田段
铬,生产,HM,300,mg/kg,6.5<pH≤7.5,水田,GB15618-2018,high,GB15618表1水田段
铬,生产,HM,350,mg/kg,pH>7.5,水田,GB15618-2018,high,GB15618表1水田段
铬,生产,HM,150,mg/kg,pH≤5.5,其他,GB15618-2018,high,GB15618表1其他用地段
铬,生产,HM,150,mg/kg,5.5<pH≤6.5,其他,GB15618-2018,high,GB15618表1其他用地段
铬,生产,HM,200,mg/kg,6.5<pH≤7.5,其他,GB15618-2018,high,GB15618表1其他用地段
铬,生产,HM,250,mg/kg,pH>7.5,其他,GB15618-2018,high,GB15618表1其他用地段
铜,生产,HM,150,mg/kg,pH≤5.5,果园,GB15618-2018,high,GB15618表1果园用地段
铜,生产,HM,150,mg/kg,5.5<pH≤6.5,果园,GB15618-2018,high,GB15618表1果园用地段
铜,生产,HM,200,mg/kg,6.5<pH≤7.5,果园,GB15618-2018,high,GB15618表1果园用地段
铜,生产,HM,200,mg/kg,pH>7.5,果园,GB15618-2018,high,GB15618表1果园用地段
铜,生产,HM,50,mg/kg,pH≤5.5,其他,GB15618-2018,high,GB15618表1其他用地段
