DOI,Source,Latitude,Longitude,Province,Pollution_Type,SoilpH,pH,OC_pct,Sum_PAH_ngg,BaP_ngg,SumOCP_ngg,SumDDTs_ngg,SumPCB_ngg,SumHCHs_ngg,SumPAE_ugkg,SumPBDE_ngg,SumPFAS_ngg,TPH_ngg,HMWPAH_ngg,LMWPAH_ngg,标签,id_DOI,id_Source,split_source,is_synthetic,SoilpH__missing,pH__missing,Sum_PAH_ngg__missing,BaP_ngg__missing,SumOCP_ngg__missing,SumDDTs_ngg__missing,SumPCB_ngg__missing,SumHCHs_ngg__missing,SumPAE_ugkg__missing,SumPBDE_ngg__missing,SumPFAS_ngg__missing,TPH_ngg__missing,HMWPAH_ngg__missing,LMWPAH_ngg__missing
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,42.140166666666666,128.13019444444444,吉林,OP,7.712221755315833,5.54,19.05,75.61497911464505,1.659538149970112,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,42.07508333333334,128.06577777777778,吉林,OP,7.712221755315833,5.54,19.05,213.3380516958734,5.253968376514729,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,42.05744444444444,128.06702777777778,吉林,OP,7.712221755315833,5.54,19.05,154.6853772770534,1.8130229221005945,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,42.25655555555556,127.88697222222224,吉林,OP,7.712221755315833,5.54,19.05,237.92286058272396,5.160029544970821,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,31.085483333333332,115.77723333333331,湖北,OP,7.712221755315833,5.54,19.05,79.35720867096398,1.2532430864500017,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,31.097666666666665,115.77105,湖北,OP,7.712221755315833,5.54,19.05,261.75977265683474,6.379663333542156,21254.711479166668,529.6690931682649,386.0731897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,23.168438333333334,112.53864333333333,广东,OP,7.712221755315833,5.54,19.05,24.623531786378624,0.1339998313185481,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,23.172165,112.53102166666666,广东,OP,7.712221755315833,5.54,19.05,62.24124748879762,0.8616337088235959,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,23.177246666666665,112.52394166666669,广东,OP,7.712221755315833,5.54,19.05,55.99376903551689,0.8507005850329198,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,51.837472222222225,123.60994444444444,黑龙江,OP,7.712221755315833,5.54,19.05,250.66471400863844,1.4478011200962029,21254.711479166668,529.6690931682649,386.1631897217854,30.429689526353183,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,10.1038/s41598-017-02999-0,Syed2017_SciRep_ChineseForestPAH,real_model_ready,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
