SoilpH,pH,OC_pct,Sum_PAH_ngg,BaP_ngg,SumOCP_ngg,SumDDTs_ngg,SumPCB_ngg,SumHCHs_ngg,SumPAE_ugkg,SumPBDE_ngg,SumPFAS_ngg,TPH_ngg,HMWPAH_ngg,LMWPAH_ngg,标签,SoilpH__missing,pH__missing,Sum_PAH_ngg__missing,BaP_ngg__missing,SumOCP_ngg__missing,SumDDTs_ngg__missing,SumPCB_ngg__missing,SumHCHs_ngg__missing,SumPAE_ugkg__missing,SumPBDE_ngg__missing,SumPFAS_ngg__missing,TPH_ngg__missing,HMWPAH_ngg__missing,LMWPAH_ngg__missing
6.757532632999807,5.54,,460.0,1667.640569424486,104.36750726041244,12.740995215870532,47.39849624471043,6.001087970433774,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.3758859577922085,5.54,,1228.0,1620.694422732843,63.08487522370304,70.17035417353394,51.45433060462972,5.881890234763863,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.757532632999807,5.54,,360.0,1667.640569424486,104.36750726041244,12.740995215870532,47.39849624471043,5.972596231286924,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.781243467875049,5.54,,1082.6,219.6812853784296,23327.923979166662,557.6147345459494,651.9339501384522,24.768170129543073,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.415135957792208,5.54,,1989.0,1682.9390477328427,63.08487522370304,77.27963859110187,51.45433060462972,7.449298617710275,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.569260237319848,5.54,,1285.0,1667.640569424486,130.2678751934937,58.89081932153215,45.22569423870903,7.444143147972616,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.781243467875049,5.54,,1026.0,219.6812853784296,23327.923979166662,557.6147345459494,651.9339501384522,24.768170129543073,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.761834716333139,5.54,,811.0,1667.640569424486,112.32332905527636,44.062430751516274,46.041581624213,5.937479224744466,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.758282632999807,5.54,,673.0,1667.640569424486,104.36750726041244,11.30206905390373,47.39849624471043,5.812138243902128,2050.0,8.537,9.44,4933000.0,54.7,45.84,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.757532632999807,5.54,,538.0,1667.640569424486,104.36750726041244,12.407406557819462,47.39849624471043,5.946826396750153,2050.0,8.537,9.44,4933000.0,54.7,45.84,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
