sample_id,site_id,source_id,province,split,split_strategy,split_version
15801,15802,10.1007/s12403-023-00534-3,贵州,test,GroupKFold_source,v0.8
20444,20445,10.1007/s11356-014-2995-4,广东,train,GroupKFold_source,v0.8
20445,20446,10.1007/s11356-014-2995-4,广东,train,GroupKFold_source,v0.8
20452,20453,10.1007/s11270-010-0645-0,unknown,train,GroupKFold_source,v0.8
20453,20454,10.1007/s11270-010-0645-0,unknown,train,GroupKFold_source,v0.8
20454,20455,10.1007/s11270-010-0645-0,unknown,train,GroupKFold_source,v0.8
20455,20456,10.1007/s11270-010-0645-0,unknown,train,GroupKFold_source,v0.8
20456,20457,10.1007/s11270-010-0645-0,unknown,train,GroupKFold_source,v0.8
20457,20458,10.1007/s11270-010-0645-0,unknown,train,GroupKFold_source,v0.8
20458,20459,10.1007/s11270-010-0645-0,unknown,train,GroupKFold_source,v0.8
20459,20460,10.1007/s11270-010-0645-0,unknown,train,GroupKFold_source,v0.8
20460,20461,10.1007/s11270-010-0645-0,unknown,train,GroupKFold_source,v0.8
20461,20462,10.1007/s11270-010-0645-0,unknown,train,GroupKFold_source,v0.8
20462,20463,10.1007/s11270-010-0645-0,unknown,train,GroupKFold_source,v0.8
20463,20464,10.1016/j.ecoenv.2024.116965,贵州,test,GroupKFold_source,v0.8
20464,20465,10.1016/j.jhazmat.2021.128096,山东,train,GroupKFold_source,v0.8
20465,20466,10.1016/j.jhazmat.2021.128096,山东,train,GroupKFold_source,v0.8
20470,20471,10.13671/j.hjkxxb.2020.0218,河北,train,GroupKFold_source,v0.8
20471,20472,10.13671/j.hjkxxb.2020.0218,河北,train,GroupKFold_source,v0.8
20472,20473,10.13671/j.hjkxxb.2020.0218,河北,train,GroupKFold_source,v0.8
20473,20474,10.13671/j.hjkxxb.2020.0218,河北,train,GroupKFold_source,v0.8
20474,20475,10.13671/j.hjkxxb.2020.0218,河北,train,GroupKFold_source,v0.8
20475,20476,10.16258/j.cnki.1674-5906.2024.12.011,广东,train,GroupKFold_source,v0.8
20491,20492,10.1007/s10646-020-02320-2,江苏,train,GroupKFold_source,v0.8
20492,20493,10.1007/s10646-020-02320-2,江苏,train,GroupKFold_source,v0.8
20493,20494,10.1007/s10646-020-02320-2,江苏,train,GroupKFold_source,v0.8
20494,20495,10.1007/s10646-020-02320-2,江苏,train,GroupKFold_source,v0.8
20495,20496,10.1007/s10646-020-02320-2,江苏,train,GroupKFold_source,v0.8
20496,20497,10.1007/s10646-020-02320-2,江苏,train,GroupKFold_source,v0.8
20497,20498,10.1007/s10646-020-02320-2,江苏,train,GroupKFold_source,v0.8
20498,20499,10.1007/s10646-020-02320-2,江苏,train,GroupKFold_source,v0.8
20499,20500,10.1007/s10646-020-02320-2,江苏,train,GroupKFold_source,v0.8
20500,20501,10.1007/s10646-020-02320-2,江苏,train,GroupKFold_source,v0.8
20501,20502,10.3390/toxics13010011,浙江,test,GroupKFold_source,v0.8
20502,20503,10.3390/toxics13010011,浙江,test,GroupKFold_source,v0.8
20503,20504,10.3390/toxics13010011,浙江,test,GroupKFold_source,v0.8
20504,20505,10.1016/j.envpol.2021.117191,北京,train,GroupKFold_source,v0.8
21034,21035,10.1080/09593330.2010.528045,unknown,train,GroupKFold_source,v0.8
21048,21049,10.1016/j.scitotenv.2018.07.223,Liaoning,valid,GroupKFold_source,v0.8
21049,21050,10.1016/j.scitotenv.2018.07.223,Liaoning,valid,GroupKFold_source,v0.8
21050,21051,10.1016/j.scitotenv.2018.07.223,Liaoning,valid,GroupKFold_source,v0.8
21051,21052,10.1016/j.scitotenv.2018.07.223,Liaoning,valid,GroupKFold_source,v0.8
21052,21053,10.1016/j.scitotenv.2018.07.223,Liaoning,valid,GroupKFold_source,v0.8
21053,21054,10.1016/j.scitotenv.2018.07.223,Liaoning,valid,GroupKFold_source,v0.8
21054,21055,10.1016/j.scitotenv.2018.07.223,Liaoning,valid,GroupKFold_source,v0.8
21055,21056,10.1016/j.scitotenv.2018.07.223,Liaoning,valid,GroupKFold_source,v0.8
21124,21125,10.1007/s10661-026-15284-3,unknown,train,GroupKFold_source,v0.8
21125,21126,10.1007/s10661-026-15284-3,unknown,train,GroupKFold_source,v0.8
21126,21127,10.1007/s10661-026-15284-3,unknown,train,GroupKFold_source,v0.8
21127,21128,10.1007/s10661-026-15284-3,unknown,train,GroupKFold_source,v0.8
21176,21177,10.1016/j.jhazmat.2019.121168,unknown,valid,GroupKFold_source,v0.8
21185,21186,10.1007/s10661-014-4037-6,Rivers State,train,GroupKFold_source,v0.8
